generator,tranche,quantity,price
CT1,t1,200,15.23
CT1,t2,200,15.23
CT1,t3,200,15.23
CT2,t1,200,15.0
CT2,t2,200,15.0
CT2,t3,200,15.0
ME1,t1,200,13.8
ME1,t2,200,13.8
ME1,t3,200,13.8
ME2,t1,200,15.43
ME2,t2,200,15.43
ME2,t3,200,15.43
NH1,t1,200,13.03
NH1,t2,200,13.03
NH1,t3,200,13.03
NH2,t1,200,13.67
NH2,t2,200,13.67
NH2,t3,200,13.67
RI1,t1,200,14.93
RI1,t2,200,14.93
RI1,t3,200,14.93
RI2,t1,200,12.6
RI2,t2,200,12.6
RI2,t3,200,12.6
SEMASS1,t1,200,15.3
SEMASS1,t2,200,15.3
SEMASS1,t3,200,15.3
SEMASS2,t1,200,12.97
SEMASS2,t2,200,12.97
SEMASS2,t3,200,12.97
VT1,t1,200,14.9
VT1,t2,200,14.9
VT1,t3,200,14.9
WCMASS1,t1,200,13.9
WCMASS1,t2,200,13.9
WCMASS1,t3,200,13.9
WCMASS2,t1,200,15.03
WCMASS2,t2,200,15.03
WCMASS2,t3,200,15.03
