generator,tranche,quantity,price
CT1,t1,200,11.2
CT1,t2,200,15.0
CT1,t3,200,19.5
CT2,t1,200,10.7
CT2,t2,200,14.5
CT2,t3,200,19.8
ME1,t1,200,10.6
ME1,t2,200,11.8
ME1,t3,200,19.0
ME2,t1,200,12.7
ME2,t2,200,16.5
ME2,t3,200,17.1
NH1,t1,200,10.5
NH1,t2,200,11.9
NH1,t3,200,16.7
NH2,t1,200,10.7
NH2,t2,200,14.3
NH2,t3,200,16.0
RI1,t1,200,12.0
RI1,t2,200,15.2
RI1,t3,200,17.6
RI2,t1,200,10.3
RI2,t2,200,11.8
RI2,t3,200,15.7
SEMASS1,t1,200,10.3
SEMASS1,t2,200,16.3
SEMASS1,t3,200,19.3
SEMASS2,t1,200,10.5
SEMASS2,t2,200,12.4
SEMASS2,t3,200,16.0
VT1,t1,200,12.9
VT1,t2,200,13.0
VT1,t3,200,18.8
WCMASS1,t1,200,11.7
WCMASS1,t2,200,14.6
WCMASS1,t3,200,15.4
WCMASS2,t1,200,10.8
WCMASS2,t2,200,15.3
WCMASS2,t3,200,19.0
